h,k,l,intensity_exp
-2,-3,0,354.4
4,3,0,232.7
-4,-5,0,914.6
-4,-7,0,313.4
6,5,0,360.9
-6,-7,0,401.0
-6,-9,0,422.8
8,5,0,331.6
8,7,0,428.4
10,7,0,395.9
12,7,0,408.4
-1,0,23,524.5
1,0,-21,556.6
-1,0,17,623.8
-1,0,13,730.8
1,0,-13,555.0
-1,0,11,369.8
-1,0,-7,282.3
1,0,7,259.7
-1,0,-9,683.2
1,0,9,441.8
-1,0,-13,525.3
1,0,13,446.8
-1,0,-15,333.7
-1,0,-19,597.3
1,0,19,584.6
-1,0,-21,769.0
-3,0,23,977.1
3,0,-23,613.7
-3,0,19,580.9
-3,0,17,487.6
3,0,-17,614.0
-3,0,13,592.6
-3,0,11,330.6
3,0,-11,330.8
-3,0,9,483.0
3,0,-9,616.9
3,0,-7,526.8
-3,0,-9,637.6
3,0,9,423.2
-3,0,-11,431.8
3,0,11,410.7
3,0,15,392.9
3,0,17,419.1
-3,0,-19,654.7
-3,0,-21,473.1
-3,0,-23,715.3
5,0,-27,738.2
-5,0,23,502.1
5,0,-17,462.3
5,0,-15,851.2
5,0,-9,434.3
5,0,9,1192.0
5,0,11,303.1
-5,0,-13,516.2
5,0,13,642.1
-5,0,-17,533.6
-5,0,-21,480.7
-7,0,21,639.0
7,0,-15,419.4
7,0,-13,482.5
7,0,-9,593.9
7,0,-7,561.9
7,0,15,493.4
7,0,23,863.8
9,0,-15,569.2
9,0,-9,870.4
